GeneID	Symbol	Description	log10baseMean	log2FC
79639	TMEM53	transmembrane protein 53	2.356	0.714
6202	RPS8	ribosomal protein S8	4.447	0.454
266675	BEST4	bestrophin 4	3.056	2.632
343521	DYNLT4	dynein light chain Tctex-type 4	2.562	-0.545
149478	BTBD19	BTB domain containing 19	2.631	-0.643
79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3	3.268	0.564
57643	ZSWIM5	zinc finger SWIM-type containing 5	2.49	1.024
105378691	LOC105378691	uncharacterized LOC105378691	1.305	0.714
400752	LINC01144	long intergenic non-protein coding RNA 1144	1.272	0.735
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	2.36	0.601
4595	MUTYH	mutY DNA glycosylase	2.75	0.377
10420	TESK2	testis associated actin remodelling kinase 2	2.464	0.276
126661	CCDC163	CCDC163 homolog	1.954	-0.752
60313	GPBP1L1	GC-rich promoter binding protein 1 like 1	3.452	0.33
3652	IPP	intracisternal A particle-promoted polypeptide	2.509	0.412
23139	MAST2	microtubule associated serine/threonine kinase 2	3.423	0.724
110117499	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough	2.594	-1.64
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	2.687	-1.672
10103	TSPAN1	tetraspanin 1	4.028	1.187
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	3.124	0.424
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	3.626	0.667
2166	FAAH	fatty acid amide hydrolase	3.286	1.374
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	0.989	0.765
64756	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	3.019	0.676
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	1.783	-0.723
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	2.302	-0.854
102724077	LINC01389	long intergenic non-protein coding RNA 1389	1.726	1.273
84793	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1	2.64	0.94
2306	FOXD2	forkhead box D2	2.68	1.141
107984953	LINC01738	long intergenic non-protein coding RNA 1738	0.908	1.058
388630	TRABD2B	TraB domain containing 2B	2.198	-0.532
11124	FAF1	Fas associated factor 1	3.013	0.278
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	2.609	-0.365
22996	TTC39A	tetratricopeptide repeat domain 39A	3.028	0.833
2060	EPS15	epidermal growth factor receptor pathway substrate 15	3.247	-0.281
105378720	EPS15-AS1	EPS15 antisense RNA 1	1.739	1.056
441884	CALR4P	calreticulin 4, pseudogene	1.175	1.203
114883	OSBPL9	oxysterol binding protein like 9	3.14	-0.34
4898	NRDC	nardilysin convertase	3.461	-0.366
105378721	LOC105378721		2.156	-0.327
100313892	MIR761	microRNA 761	0.925	-0.485
112970	KTI12	KTI12 chromatin associated homolog	2.189	-0.287
91408	BTF3L4	basic transcription factor 3 like 4	2.792	-0.286
9372	ZFYVE9	zinc finger FYVE-type containing 9	2.728	0.191
84950	PRPF38A	pre-mRNA processing factor 38A	3.158	0.405
23318	TUT4	terminal uridylyl transferase 4	2.9	-0.467
2882	GPX7	glutathione peroxidase 7	2.202	-1.448
65260	COA7	cytochrome c oxidase assembly factor 7	2.734	0.341
79699	ZYG11B	zyg-11 family member B, cell cycle regulator	2.885	-0.279
440590	ZYG11A	zyg-11 family member A, cell cycle regulator	1.291	-1.669
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	3.418	0.941
6342	SCP2	sterol carrier protein 2	3.574	0.429
6512	SLC1A7	solute carrier family 1 member 7	1.624	0.664
1376	CPT2	carnitine palmitoyltransferase 2	3.148	1.187
7804	LRP8	LDL receptor related protein 8	2.376	-1.279
105378726	LOC105378726	uncharacterized LOC105378726	1.444	-0.846
9528	TMEM59	transmembrane protein 59	3.868	0.528
127428	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	2.605	0.211
606495	CYB5RL	cytochrome b5 reductase like	2.398	0.383
51253	MRPL37	mitochondrial ribosomal protein L37	3.253	0.503
23648	SSBP3	single stranded DNA binding protein 3	3.19	0.302
26027	ACOT11	acyl-CoA thioesterase 11	3.011	1.216
