GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
25975	8.60e-28	7.23e-31	0.417	-11.5518323	-4.81664923	134.57	EGFL6	EGF like domain multiple 6
56169	1.62e-27	1.44e-30	0.2995	-11.4924034	-3.44218234	35.01	GSDMC	gasdermin C
6279	1.34e-26	1.25e-29	0.4282	-11.3042806	-4.84071022	2385.65	S100A8	S100 calcium binding protein A8
6283	1.94e-26	1.90e-29	0.4776	-11.2672407	-5.38081126	346.96	S100A12	S100 calcium binding protein A12
2191	2.25e-26	2.31e-29	0.3102	-11.2501112	-3.49022034	211.32	FAP	fibroblast activation protein alpha
3589	1.41e-25	1.51e-28	0.3263	-11.0831673	-3.61592389	162.33	IL11	interleukin 11
283208	1.83e-25	2.05e-28	0.2705	-11.0561682	-2.99076306	51.55	P4HA3	prolyl 4-hydroxylase subunit alpha 3
342510	2.14e-25	2.50e-28	0.3684	-11.0381245	-4.06645148	226.62	CD300E	CD300e molecule
366	2.31e-25	2.80e-28	0.4236	-11.0279495	-4.67147342	288.64	AQP9	aquaporin 9
4017	3.34e-25	4.22e-28	0.2418	-10.9911106	-2.65784761	1349.2	LOXL2	lysyl oxidase like 2
51334	3.99e-25	5.41e-28	0.201	-10.9686876	-2.20510462	199.13	PRR16	proline rich 16
284348	3.99e-25	5.24e-28	0.1607	-10.9715313	-1.76349112	53.59	LYPD5	LY6/PLAUR domain containing 5
51050	5.53e-25	7.75e-28	0.3987	-10.9360657	-4.36018793	1580.77	PI15	peptidase inhibitor 15
56265	8.54e-25	1.24e-27	0.2782	-10.8936683	-3.03059248	645.08	CPXM1	"carboxypeptidase X, M14 family member 1"
101929532	1.23e-24	1.83e-27	0.296	-10.8577632	-3.21429265	31.66	LOC101929532	uncharacterized LOC101929532
60675	2.09e-23	3.22e-26	0.4277	-10.5927677	-4.53034037	75.15	PROK2	prokineticin 2
1441	2.22e-23	3.54e-26	0.316	-10.5838984	-3.34453375	908.83	CSF3R	colony stimulating factor 3 receptor
56938	2.22e-23	3.62e-26	0.1728	-10.5817602	-1.82815558	366.97	BMAL2	basic helix-loop-helix ARNT like 2
6288	3.77e-23	6.34e-26	0.4189	-10.5292302	-4.4108767	98.28	SAA1	serum amyloid A1
81792	7.95e-23	1.37e-25	0.3111	-10.4560986	-3.2529375	265.63	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
8038	8.41e-23	1.49e-25	0.2847	-10.4482108	-2.9747281	177.63	ADAM12	ADAM metallopeptidase domain 12
107984118	9.13e-23	1.66e-25	0.3917	-10.4379521	-4.0881852	43.52	LOC107984118	uncharacterized LOC107984118
121457	9.76e-23	1.82e-25	0.1727	-10.4293001	-1.80094984	386.42	IKBIP	IKBKB interacting protein
1294	1.26e-22	2.41e-25	0.2598	-10.4028852	-2.70310553	2552.44	COL7A1	collagen type VII alpha 1 chain
23601	1.87e-22	3.66e-25	0.4083	-10.3627415	-4.23136963	45.81	CLEC5A	C-type lectin domain containing 5A
100506115	2.65e-22	5.33e-25	0.2602	-10.326861	-2.68722268	70.39	PELATON	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation
6280	2.83e-22	5.81e-25	0.4109	-10.3185175	-4.23936958	3529.15	S100A9	S100 calcium binding protein A9
9509	3.20e-22	6.72e-25	0.2747	-10.3046258	-2.8311329	1135.14	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
1281	7.12e-22	1.53e-24	0.259	-10.225113	-2.648116	38832.49	COL3A1	collagen type III alpha 1 chain
3627	7.37e-22	1.62e-24	0.3289	-10.2196844	-3.36088733	459	CXCL10	C-X-C motif chemokine ligand 10
6374	1.02e-21	2.29e-24	0.5472	-10.1860821	-5.57421746	1024.14	CXCL5	C-X-C motif chemokine ligand 5
6648	1.45e-21	3.32e-24	0.1662	-10.1496736	-1.68722719	16908.72	SOD2	superoxide dismutase 2
4897	1.59e-21	3.70e-24	0.301	-10.1391084	-3.05169436	172.22	NRCAM	neuronal cell adhesion molecule
1277	2.89e-21	6.89e-24	0.283	-10.0783627	-2.85207364	27161.45	COL1A1	collagen type I alpha 1 chain
28467	3.95e-21	9.60e-24	0.3487	-10.045668	-3.50300908	836.65	IGHV1-24	immunoglobulin heavy variable 1-24
4885	4.74e-21	1.17e-23	0.277	-10.0259769	-2.77746536	382.41	NPTX2	neuronal pentraxin 2
