GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
26279	PLA2G2D	phospholipase A2 group IID	0.981	1.518
127733	UBXN10	UBX domain protein 10	1.112	6.802
105376825	LOC105376825	uncharacterized LOC105376825	1.626	7.586
127731	VWA5B1	von Willebrand factor A domain containing 5B1	3.636	16.21
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	1.566	12.473
79594	MUL1	mitochondrial E3 ubiquitin protein ligase 1	0.409	3.337
65018	PINK1	PTEN induced kinase 1	0.387	2.668
100861548	PINK1-AS	PINK1 antisense RNA	0.375	2.36
57576	KIF17	kinesin family member 17	-1.232	5.946
112268222	LOC112268222		0.246	3.448
1889	ECE1	endothelin converting enzyme 1	-0.651	6.367
100506801	ECE1-AS1	ECE1 antisense RNA 1	-0.737	3.207
249	ALPL	alkaline phosphatase, biomineralization associated	-2.403	15.012
5909	RAP1GAP	RAP1 GTPase activating protein	0.914	2.82
84196	USP48	ubiquitin specific peptidase 48	-0.425	4.969
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	-0.852	4.676
3339	HSPG2	heparan sulfate proteoglycan 2	-1.265	7.853
9923	ZBTB40	zinc finger and BTB domain containing 40	-0.354	2.817
713	C1QB	complement C1q B chain	-0.66	1.336
2048	EPHB2	EPH receptor B2	0.88	3.258
23028	KDM1A	lysine demethylase 1A	0.309	4.359
7798	LUZP1	leucine zipper protein 1	-0.368	1.785
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R	-0.214	1.477
148898	ZNF436-AS1	ZNF436 antisense RNA 1	0.487	1.629
6920	TCEA3	transcription elongation factor A3	1.631	7.379
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	0.644	4.688
1870	E2F2	E2F transcription factor 2	0.593	2.164
105376859	LOC105376859	uncharacterized LOC105376859	1.02	3.577
3399	ID3	inhibitor of DNA binding 3	0.549	1.881
6135	RPL11	ribosomal protein L11	0.47	2.479
57095	PITHD1	PITH domain containing 1	0.274	3.044
105376860	LOC105376860	uncharacterized LOC105376860	0.286	1.534
11313	LYPLA2	lysophospholipase 2	0.617	3.02
2582	GALE	UDP-galactose-4-epimerase	0.56	1.502
3155	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	1.177	7.116
2517	FUCA1	alpha-L-fucosidase 1	0.999	5.692
10772	SRSF10	serine and arginine rich splicing factor 10	-0.358	2.027
105376863	LOC105376863	uncharacterized LOC105376863	1.577	5.714
58985	IL22RA1	interleukin 22 receptor subunit alpha 1	1.001	2.586
90529	STPG1	sperm tail PG-rich repeat containing 1	0.758	6.16
57185	NIPAL3	NIPA like domain containing 3	0.351	3.548
25932	CLIC4	chloride intracellular channel 4	-1.213	5.309
107984932	LOC107984932		-1.083	2.575
105376878	RUNX3-AS1	RUNX3 antisense RNA 1	-0.6	1.372
23585	TMEM50A	transmembrane protein 50A	-0.231	2.117
26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1	0.608	5.017
57190	SELENON	selenoprotein N	-0.448	4.333
56181	MTFR1L	mitochondrial fission regulator 1 like	0.409	4.189
646471	LOC646471	uncharacterized LOC646471	0.328	1.345
5051	PAFAH2	platelet activating factor acetylhydrolase 2	0.635	4.109
7780	SLC30A2	solute carrier family 30 member 2	1.261	2.866
84676	TRIM63	tripartite motif containing 63	0.9	1.992
79927	FAM110D	family with sequence similarity 110 member D	-0.639	1.614
51042	ZNF593	zinc finger protein 593	0.528	1.438
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1	0.799	3.555
79947	DHDDS	dehydrodolichyl diphosphate synthase subunit	0.603	4.192
3151	HMGN2	high mobility group nucleosomal binding domain 2	0.398	3.433
6195	RPS6KA1	ribosomal protein S6 kinase A1	0.844	5.162
101928728	LOC101928728	uncharacterized LOC101928728	0.406	2.038
55650	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	0.482	4.067
2810	SFN	stratifin	1.329	3.236
54707	GPN2	GPN-loop GTPase 2	0.436	4.477
126695	KDF1	keratinocyte differentiation factor 1	0.993	3.089
388610	TRNP1	TMF1 regulated nuclear protein 1	-1.199	6.415
6548	SLC9A1	solute carrier family 9 member A1	0.558	3.24
23038	WDTC1	WD and tetratricopeptide repeats 1	0.35	4.468
84958	SYTL1	synaptotagmin like 1	-0.448	1.319
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6	-0.468	3.351
8547	FCN3	ficolin 3	-3.681	29.157
27245	AHDC1	AT-hook DNA binding motif containing 1	-0.277	1.565
2268	FGR	FGR proto-oncogene, Src family tyrosine kinase	-1.883	13.626
2537	IFI6	interferon alpha inducible protein 6	-1.113	4.618
23673	STX12	syntaxin 12	-0.178	1.447
5511	PPP1R8	protein phosphatase 1 regulatory subunit 8	-0.132	1.57
9473	THEMIS2	thymocyte selection associated family member 2	-0.784	2.397
27293	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	0.934	3.741
5724	PTAFR	platelet activating factor receptor	-0.931	4.638
93974	ATP5IF1	ATP synthase inhibitory factor subunit 1	0.809	4.349
54797	MED18	mediator complex subunit 18	0.822	4.562
65979	PHACTR4	phosphatase and actin regulator 4	0.26	2.282
85028	SNHG12	small nucleolar RNA host gene 12	0.315	1.551
6883	TAF12	TATA-box binding protein associated factor 12	-0.309	3.564
4985	OPRD1	opioid receptor delta 1	-0.865	3.112
2035	EPB41	erythrocyte membrane protein band 4.1	0.394	2.774
51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	0.487	3.202
10076	PTPRU	protein tyrosine phosphatase receptor type U	-0.658	2.468
692234	SNORD103A	small nucleolar RNA, C/D box 103A	-0.49	1.42
2170	FABP3	fatty acid binding protein 3	0.434	1.896
347735	SERINC2	serine incorporator 2	1.523	5.742
105378626	LOC105378626	uncharacterized LOC105378626	1.014	5.415
90853	SPOCD1	SPOC domain containing 1	-1.359	4.681
200081	TXLNA	taxilin alpha	-0.184	2.06
55721	IQCC	IQ motif containing C	0.634	6.082
149069	DCDC2B	doublecortin domain containing 2B	0.235	1.552
339483	MTMR9LP	myotubularin related protein 9 like, pseudogene	-0.516	2.724
84734	FAM167B	family with sequence similarity 167 member B	-0.839	2.889
3065	HDAC1	histone deacetylase 1	0.355	2.633
65108	MARCKSL1	MARCKS like 1	0.496	3.116
100128071	FAM229A	family with sequence similarity 229 member A	0.742	2.538
57648	KIAA1522	KIAA1522	1.197	6.047
252995	FNDC5	fibronectin type III domain containing 5	1.16	6.081
3208	HPCA	hippocalcin	1.766	6.315
113452	TMEM54	transmembrane protein 54	1.354	3.9
127544	RNF19B	ring finger protein 19B	-0.482	2.097
204	AK2	adenylate kinase 2	0.404	2.934
113451	AZIN2	antizyme inhibitor 2	0.5	2.051
55223	TRIM62	tripartite motif containing 62	-0.273	2.883
1912	PHC2	polyhomeotic homolog 2	-0.356	1.86
100500853	MIR3605	microRNA 3605	-0.714	5.104
114784	CSMD2	CUB and Sushi multiple domains 2	-2.349	17.678
105378641	LOC105378641	uncharacterized LOC105378641	1.524	3.261
2701	GJA4	gap junction protein alpha 4	-2.165	14.413
113444	SMIM12	small integral membrane protein 12	0.259	1.747
100506144	TMEM35B	transmembrane protein 35B	-0.291	3.034
9202	ZMYM4	zinc finger MYM-type containing 4	-0.326	2.834
100861513	ZMYM4-AS1	ZMYM4 antisense RNA 1	-0.685	2.175
23154	NCDN	neurochondrin	-0.654	6.716
339488	TFAP2E	transcription factor AP-2 epsilon	-0.49	2.61
105378645	TFAP2E-AS1	TFAP2E antisense RNA 1	-0.843	4.417
127703	C1orf216	chromosome 1 open reading frame 216	-0.683	3.643
55700	MAP7D1	MAP7 domain containing 1	-0.604	5.124
79729	SH3D21	SH3 domain containing 21	0.546	3.517
55194	EVA1B	eva-1 homolog B	-0.507	1.777
83931	STK40	serine/threonine kinase 40	0.364	2.86
1441	CSF3R	colony stimulating factor 3 receptor	-3.345	22.655
105378649	LOC105378649	uncharacterized LOC105378649	-0.385	1.302
54955	C1orf109	chromosome 1 open reading frame 109	-0.239	1.366
284656	EPHA10	EPH receptor A10	1.243	3.688
4520	MTF1	metal regulatory transcription factor 1	-0.285	2.263
3633	INPP5B	inositol polyphosphate-5-phosphatase B	0.251	2.178
105378651	LOC105378651	uncharacterized LOC105378651	-0.39	1.67
2275	FHL3	four and a half LIM domains 3	-1.031	5.266
51118	UTP11	UTP11 small subunit processome component	-0.289	4.347
5453	POU3F1	POU class 3 homeobox 1	-1.048	1.721
64121	RRAGC	Ras related GTP binding C	-0.288	2.09
81025	GJA9	gap junction protein alpha 9	0.661	2.671
54933	RHBDL2	rhomboid like 2	1.263	4.286
105378662	LOC105378662	uncharacterized LOC105378662	0.943	3.053
4725	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	0.534	2.382
23499	MACF1	microtubule actin crosslinking factor 1	-0.774	4.16
643314	KIAA0754	replaced by ID 23499	-0.699	1.473
353500	BMP8A	bone morphogenetic protein 8a	-0.707	5.106
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	-1.432	8.773
10450	PPIE	peptidylprolyl isomerase E	0.36	2.722
