GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
55111	PLEKHJ1	pleckstrin homology domain containing J1	1.142	5.802
100302283	MIR1227	microRNA 1227	1.125	4.941
102466736	MIR6789	microRNA 6789	0.944	4.373
8175	SF3A2	splicing factor 3a subunit 2	0.309	1.644
126306	JSRP1	junctional sarcoplasmic reticulum protein 1	-2.047	8.464
51690	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	0.604	2.428
56928	SPPL2B	signal peptide peptidase like 2B	0.704	5.906
360200	TMPRSS9	transmembrane serine protease 9	0.663	5.645
26517	TIMM13	translocase of inner mitochondrial membrane 13	0.91	3.59
4616	GADD45B	growth arrest and DNA damage inducible beta	-0.663	1.735
29985	SLC39A3	solute carrier family 39 member 3	0.362	1.358
7064	THOP1	thimet oligopeptidase 1	0.437	2.013
115196	ZNF554	zinc finger protein 554	0.754	9.483
126295	ZNF57	zinc finger protein 57	1.145	6.282
101928631	LOC101928631		0.764	3.719
58492	ZNF77	zinc finger protein 77	0.417	2.892
7089	TLE2	TLE family member 2, transcriptional corepressor	0.964	5.95
166	TLE5	TLE family member 5, transcriptional modulator	0.608	4.373
2767	GNA11	G protein subunit alpha 11	0.896	5.19
2769	GNA15	G protein subunit alpha 15	-1.581	11.333
100996351	GNA15-DT	GNA15 divergent transcript	-1.598	9.654
8698	S1PR4	sphingosine-1-phosphate receptor 4	-0.819	2.263
56926	NCLN	nicalin	0.456	1.91
60680	CELF5	CUGBP Elav-like family member 5	1.206	6.483
284422	SMIM24	small integral membrane protein 24	1.353	4.088
105372246	LOC105372246	uncharacterized LOC105372246	0.642	1.595
83475	DOHH	deoxyhypusine hydroxylase	0.458	1.936
51343	FZR1	fizzy and cell division cycle 20 related 1	0.221	1.697
10362	HMG20B	high mobility group 20B	0.338	1.942
6915	TBXA2R	thromboxane A2 receptor	-0.585	2.02
404665	CACTIN-AS1	CACTIN antisense RNA 1	0.228	1.649
58509	CACTIN	cactin, spliceosome C complex subunit	0.274	2.1
23396	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	-0.336	2.388
27134	TJP3	tight junction protein 3	1.16	3.283
116541	MRPL54	mitochondrial ribosomal protein L54	0.7	2.532
693222	MIR637	microRNA 637	-0.395	2.013
51588	PIAS4	protein inhibitor of activated STAT 4	0.348	2.901
51341	ZBTB7A	zinc finger and BTB domain containing 7A	0.705	6.439
5605	MAP2K2	mitogen-activated protein kinase kinase 2	0.633	2.812
84699	CREB3L3	cAMP responsive element binding protein 3 like 3	0.876	1.721
51548	SIRT6	sirtuin 6	0.923	4.683
170961	ANKRD24	ankyrin repeat domain 24	0.617	2.791
10148	EBI3	Epstein-Barr virus induced 3	-0.596	1.356
55702	YJU2	YJU2 splicing factor homolog	0.406	1.724
56961	SHD	Src homology 2 domain containing transforming protein D	1.662	4.973
126259	TMIGD2	transmembrane and immunoglobulin domain containing 2	0.773	2.407
55620	STAP2	signal transducing adaptor family member 2	1.799	7.151
84954	MPND	MPN domain containing	1.334	8.028
6455	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	-0.237	1.594
84717	HDGFL2	HDGF like 2	0.38	1.722
10501	SEMA6B	semaphorin 6B	-1.198	4.502
126282	TNFAIP8L1	TNF alpha induced protein 8 like 1	-0.318	2.551
105372250	LOC105372250	uncharacterized LOC105372250	0.645	1.806
10226	PLIN3	perilipin 3	-0.296	1.527
257000	TINCR	TINCR ubiquitin domain containing	1.592	9.073
6294	SAFB	scaffold attachment factor B	0.258	2.349
125988	MICOS13	mitochondrial contact site and cristae organizing system subunit 13	0.9	4.066
25873	RPL36	ribosomal protein L36	0.882	3.527
9361	LONP1	lon peptidase 1, mitochondrial	0.291	1.474
163154	PRR22	proline rich 22	0.903	3.679
4902	NRTN	neurturin	1.161	5.143
2528	FUT6	fucosyltransferase 6	1.22	3.44
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	1.088	2.776
101928844	LOC101928844	uncharacterized LOC101928844	1.492	5.329
2527	FUT5	fucosyltransferase 5	0.985	2.852
126328	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	0.571	1.985
828	CAPS	calcyphosine	0.591	2.362
84266	ALKBH7	alkB homolog 7	1.119	5.535
5623	PSPN	persephin	0.975	4.548
390877	LOC390877	adenylate kinase isoenzyme 1-like	-0.462	1.332
284427	SLC25A41	solute carrier family 25 member 41	0.996	3.725
79085	SLC25A23	solute carrier family 25 member 23	1.001	7.952
92359	CRB3	crumbs cell polarity complex component 3	1.17	3.803
79958	DENND1C	DENN domain containing 1C	0.379	2.369
8744	TNFSF9	TNF superfamily member 9	-1.124	2.876
970	CD70	CD70 molecule	-0.615	1.347
8740	TNFSF14	TNF superfamily member 14	-1.257	4.419
56927	GPR108	G protein-coupled receptor 108	0.292	2.491
9322	TRIP10	thyroid hormone receptor interactor 10	0.268	1.655
10045	SH2D3A	SH2 domain containing 3A	0.85	3.872
3643	INSR	insulin receptor	-0.294	1.826
23370	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	0.253	1.321
92960	PEX11G	peroxisomal biogenesis factor 11 gamma	1.314	8.741
105372261	LOC105372261	uncharacterized LOC105372261	-0.598	4.309
140467	ZNF358	zinc finger protein 358	0.429	1.536
57662	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	1.051	3.238
56949	XAB2	XPA binding protein 2	0.382	1.696
100131801	PET100	PET100 cytochrome c oxidase chaperone	0.62	2.413
126006	PCP2	Purkinje cell protein 2	0.377	1.436
6813	STXBP2	syntaxin binding protein 2	0.592	3.102
199675	MCEMP1	mast cell expressed membrane protein 1	-5.326	36.78
2208	FCER2	Fc epsilon receptor II	0.99	1.755
10332	CLEC4M	C-type lectin domain family 4 member M	1.299	2.373
5609	MAP2K7	mitogen-activated protein kinase kinase 7	0.208	1.773
100507588	TGFBR3L	transforming growth factor beta receptor 3 like	0.829	3.327
10469	TIMM44	translocase of inner mitochondrial membrane 44	0.424	2.454
51293	CD320	CD320 molecule	0.495	1.513
4701	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	0.451	1.678
6234	RPS28	ribosomal protein S28	0.755	3.181
256949	KANK3	KN motif and ankyrin repeat domains 3	-0.61	2.017
100507567	RAB11B-AS1	RAB11B antisense RNA 1	0.294	2.361
9230	RAB11B	RAB11B, member RAS oncogene family	0.318	1.88
84330	ZNF414	zinc finger protein 414	0.558	2.222
4542	MYO1F	myosin IF	-0.7	2.519
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	-1.111	5.689
100529215	ZNF559-ZNF177	ZNF559-ZNF177 readthrough	0.334	1.49
7730	ZNF177	zinc finger protein 177	0.484	2.401
54811	ZNF562	zinc finger protein 562	0.293	2.329
162993	ZNF846	zinc finger protein 846	0.368	4.332
100505555	LOC100505555	uncharacterized LOC100505555	0.639	2.407
54850	FBXL12	F-box and leucine rich repeat protein 12	0.383	2.824
59286	UBL5	ubiquitin like 5	0.387	1.359
5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	0.339	1.574
93145	OLFM2	olfactomedin 2	-1.052	5.702
50509	COL5A3	collagen type V alpha 3 chain	-1.834	13.497
55337	SHFL	shiftless antiviral inhibitor of ribosomal frameshifting	-0.437	3.174
56342	PPAN	peter pan homolog	0.391	1.657
692312	PPAN-P2RY11	PPAN-P2RY11 readthrough	0.396	1.652
5032	P2RY11	purinergic receptor P2Y11	0.418	1.727
51073	MRPL4	mitochondrial ribosomal protein L4	0.614	2.722
105372272	LIMASI	lncRNA inflammatory and mucous response associated, antisense to ICAM1	-1.174	2.939
3383	ICAM1	intercellular adhesion molecule 1	-1.432	4.859
3386	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	-0.839	1.632
100125288	ZGLP1	zinc finger GATA like protein 1	0.681	2.938
112812	FDX2	ferredoxin 2	0.562	2.426
125950	RAVER1	ribonucleoprotein, PTB binding 1	0.43	3.003
7297	TYK2	tyrosine kinase 2	-0.169	1.353
5141	PDE4A	phosphodiesterase 4A	-0.302	1.596
9817	KEAP1	kelch like ECH associated protein 1	0.252	1.514
53637	S1PR5	sphingosine-1-phosphate receptor 5	-1.993	14.194
84971	ATG4D	autophagy related 4D cysteine peptidase	0.85	5.202
1032	CDKN2D	cyclin dependent kinase inhibitor 2D	-0.295	1.568
10053	AP1M2	adaptor related protein complex 1 subunit mu 2	1.304	3.939
147727	ILF3-DT	ILF3 divergent transcript	0.21	1.373
81890	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1	0.669	3.726
1785	DNM2	dynamin 2	0.496	3.831
11018	TMED1	transmembrane p24 trafficking protein 1	0.31	1.403
255809	C19orf38	chromosome 19 open reading frame 38	-1.208	5.788
78992	YIPF2	Yip1 domain family member 2	0.331	1.614
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.246	1.989
147841	SPC24	SPC24 component of NDC80 kinetochore complex	0.635	1.88
126075	CCDC159	coiled-coil domain containing 159	0.467	2.522
64748	PLPPR2	phospholipid phosphatase related 2	-0.479	2.203
126074	SWSAP1	SWIM-type zinc finger 7 associated protein 1	0.484	2.828
5589	PRKCSH	protein kinase C substrate 80K-H	0.374	2.075
115950	ZNF653	zinc finger protein 653	0.531	2.993
51295	ECSIT	ECSIT signaling integrator	0.814	4.367
55552	ZNF823	zinc finger protein 823	0.781	4.39
126070	ZNF440	zinc finger protein 440	1.038	9.12
90594	ZNF439	zinc finger protein 439	0.415	2.282
7620	ZNF69	zinc finger protein 69	1.109	7.212
90592	ZNF700	zinc finger protein 700	0.516	4.829
284390	ZNF763	zinc finger protein 763	0.758	7.247
284391	ZNF844	zinc finger protein 844	0.357	1.383
388507	ZNF788P	zinc finger family member 788, pseudogene	-0.331	1.652
100529855	ZNF625-ZNF20	ZNF625-ZNF20 readthrough (NMD candidate)	0.209	1.639
7568	ZNF20	zinc finger protein 20	0.253	1.928
90589	ZNF625	zinc finger protein 625	-0.375	1.53
51710	ZNF44	zinc finger protein 44	0.471	6.985
147837	ZNF563	zinc finger protein 563	0.406	2.505
10224	ZNF443	zinc finger protein 443	0.346	1.461
163050	ZNF564	zinc finger protein 564	0.633	6.76
84292	WDR83	WD repeat domain 83	0.406	2.392
51398	WDR83OS	WD repeat domain 83 opposite strand	0.493	2.518
1725	DHPS	deoxyhypusine synthase	0.304	1.998
84261	FBXW9	F-box and WD repeat domain containing 9	0.525	2.16
79002	TRIR	telomerase RNA component interacting RNase	0.336	1.324
54831	BEST2	bestrophin 2	1.075	1.552
29911	HOOK2	hook microtubule tethering protein 2	0.864	6.482
7001	PRDX2	peroxiredoxin 2	0.644	3.182
2639	GCDH	glutaryl-CoA dehydrogenase	0.409	2.595
256126	SYCE2	synaptonemal complex central element protein 2	0.506	3.527
90480	GADD45GIP1	GADD45G interacting protein 1	0.548	1.681
105372282	LOC105372282	uncharacterized LOC105372282	0.457	1.34
81576	YJU2B	YJU2 splicing factor homolog B	0.327	1.704
65249	ZSWIM4	zinc finger SWIM-type containing 4	-0.43	2.402
107985334	LOC107985334	uncharacterized LOC107985334	1.133	7.921
79173	BRME1	break repair meiotic recombinase recruitment factor 1	0.792	3.267
54862	CC2D1A	coiled-coil and C2 domain containing 1A	0.913	5.298
79883	PODNL1	podocan like 1	-0.482	1.956
9466	IL27RA	interleukin 27 receptor subunit alpha	-0.573	2.768
342979	PALM3	paralemmin 3	1.04	4.127
113230	MISP3	MISP family member 3	1.094	3.803
102466515	MIR1199	microRNA 1199	0.803	1.599
646457	C19orf67	chromosome 19 open reading frame 67	0.686	2.843
90378	SAMD1	sterile alpha motif domain containing 1	0.516	3.314
100507373	ADGRL1-AS1	ADGRL1 antisense RNA 1	0.2	1.515
22859	ADGRL1	adhesion G protein-coupled receptor L1	0.376	2.402
5731	PTGER1	prostaglandin E receptor 1	-0.753	1.725
10755	GIPC1	GIPC PDZ domain containing family member 1	0.968	3.864
9524	TECR	trans-2,3-enoyl-CoA reductase	0.559	2.722
112268253	LOC112268253	replaced by ID 3337	0.616	2.473
4713	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	0.992	3.948
106635534	SNORA104	small nucleolar RNA, H/ACA box 104	-0.869	5.525
84449	ZNF333	zinc finger protein 333	-0.599	3.901
30817	ADGRE2	adhesion G protein-coupled receptor E2	-1.293	8.517
85360	SYDE1	synapse defective Rho GTPase homolog 1	-1.126	6.733
10994	ILVBL	ilvB acetolactate synthase like	0.96	5.853
4854	NOTCH3	notch receptor 3	-2.039	9.325
79852	EPHX3	epoxide hydrolase 3	-1.121	5.868
23476	BRD4	bromodomain containing 4	-0.301	2.533
66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12	1.851	8.684
8529	CYP4F2	cytochrome P450 family 4 subfamily F member 2	2.09	7.311
57834	CYP4F11	cytochrome P450 family 4 subfamily F member 11	1.031	1.868
7171	TPM4	tropomyosin 4	-0.948	13.833
26017	FAM32A	family with sequence similarity 32 member A	0.266	1.664
8907	AP1M1	adaptor related protein complex 1 subunit mu 1	-0.401	2.798
10365	KLF2	KLF transcription factor 2	-0.68	1.826
84167	C19orf44	chromosome 19 open reading frame 44	0.187	1.335
79086	SMIM7	small integral membrane protein 7	0.34	2.685
79041	TMEM38A	transmembrane protein 38A	1.112	9.829
284434	NWD1	NACHT and WD repeat domain containing 1	1.616	6.291
23309	SIN3B	SIN3 transcription regulator family member B	-0.259	1.555
9002	F2RL3	F2R like thrombin or trypsin receptor 3	-0.823	2.191
93323	HAUS8	HAUS augmin like complex subunit 8	0.459	3.473
79629	OCEL1	occludin/ELL domain containing 1	0.841	5.402
2063	NR2F6	nuclear receptor subfamily 2 group F member 6	1.009	4.236
83878	USHBP1	USH1 protein network component harmonin binding protein 1	-0.894	3.236
29086	BABAM1	BRISC and BRCA1 A complex member 1	0.393	2.13
64981	MRPL34	mitochondrial ribosomal protein L34	0.507	2.33
79016	DDA1	DET1 and DDB1 associated 1	0.326	2.155
57719	ANO8	anoctamin 8	-0.4	3.358
83483	PLVAP	plasmalemma vesicle associated protein	-1.096	5.204
105221694	BISPR	BST2 interferon stimulated positive regulator	-0.783	2.979
93343	MVB12A	multivesicular body subunit 12A	0.367	1.36
100507551	PGLS-DT	PGLS divergent transcript	0.403	2.17
25796	PGLS	6-phosphogluconolactonase	0.783	3.731
79709	COLGALT1	collagen beta(1-O)galactosyltransferase 1	-0.51	6.128
23025	UNC13A	unc-13 homolog A	-1.386	8.805
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	1.205	3.579
3718	JAK3	Janus kinase 3	-1.169	4.072
6142	RPL18A	ribosomal protein L18a	0.461	1.711
3594	IL12RB1	interleukin 12 receptor subunit beta 1	-0.664	2.042
23031	MAST3	microtubule associated serine/threonine kinase 3	0.262	2.091
5296	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2	0.55	4.024
10437	IFI30	IFI30 lysosomal thiol reductase	-0.953	4.882
5143	PDE4C	phosphodiesterase 4C	0.911	3.024
729966	LOC729966	uncharacterized LOC729966	1.938	6.315
80726	IQCN	IQ motif containing N	0.872	2.788
25804	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	0.601	2.758
54858	PGPEP1	pyroglutamyl-peptidase I	0.871	9.772
126364	LRRC25	leucine rich repeat containing 25	-0.78	2.74
8178	ELL	elongation factor for RNA polymerase II	-0.456	3.698
7311	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	0.358	1.322
55049	REX1BD	required for excision 1-B domain containing	0.618	2.18
55295	KLHL26	kelch like family member 26	0.254	1.786
23373	CRTC1	CREB regulated transcription coactivator 1	0.229	1.565
54555	DDX49	DEAD-box helicase 49	0.391	1.757
93436	ARMC6	armadillo repeat containing 6	0.271	1.308
729991	BORCS8	BLOC-1 related complex subunit 8	0.294	1.345
8625	RFXANK	regulatory factor X associated ankyrin containing protein	0.555	2.326
126382	NR2C2AP	nuclear receptor 2C2 associated protein	0.662	3.342
51079	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	0.948	4.092
374887	YJEFN3	YjeF N-terminal domain containing 3	1.044	5.84
148113	CILP2	cartilage intermediate layer protein 2	-0.729	1.52
284440	LINC00663	long intergenic non-protein coding RNA 663	0.538	2.67
112267872	LOC112267872		0.507	4.142
7643	ZNF90	zinc finger protein 90	0.366	2.47
90649	ZNF486	zinc finger protein 486	0.299	1.397
100129842	ZNF737	zinc finger protein 737	0.427	2.092
80264	ZNF430	zinc finger protein 430	-0.325	1.5
105372321	LOC105372321	uncharacterized LOC105372321	0.861	2.951
353088	ZNF429	zinc finger protein 429	0.59	4.132
101929007	LOC101929007	uncharacterized LOC101929007	1.722	8.514
105372323	LOC105372323	uncharacterized LOC105372323	1.98	7.471
100132815	IPO5P1	importin 5 pseudogene 1	1.196	12.704
7644	ZNF91	zinc finger protein 91	0.72	3.762
107985285	LOC107985285	uncharacterized LOC107985285	1.401	5.31
104472717	LINC01224	long intergenic non-protein coding RNA 1224	1.349	4.154
171392	ZNF675	zinc finger protein 675	0.312	1.867
148213	ZNF681	zinc finger protein 681	0.425	1.486
388524	RPSA2	ribosomal protein SA 2	0.597	2.743
730087	ZNF726	zinc finger protein 726	0.537	1.638
101927151	LINC02987	long intergenic non-protein coding RNA 2987	0.392	2.181
7386	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	0.951	5.394
79156	PLEKHF1	pleckstrin homology and FYVE domain containing 1	-0.768	4.764
83636	C19orf12	chromosome 19 open reading frame 12	-0.243	3.528
57616	TSHZ3	teashirt zinc finger homeobox 3	-0.912	3.961
147991	DPY19L3	dpy-19 like C-mannosyltransferase 3	-0.606	5.975
84079	ANKRD27	ankyrin repeat domain 27	0.2	1.583
390916	NUDT19	nudix hydrolase 19	0.322	2.166
91442	FAAP24	FA core complex associated protein 24	0.41	2.224
85415	RHPN2	rhophilin Rho GTPase binding protein 2	0.865	2.553
55094	GPATCH1	G-patch domain containing 1	0.266	2.965
126248	WDR88	WD repeat domain 88	0.654	4.962
1050	CEBPA	CCAAT enhancer binding protein alpha	0.759	2.128
80054	CEBPA-DT	CEBPA divergent transcript	1.304	5.308
1054	CEBPG	CCAAT enhancer binding protein gamma	0.346	1.987
79047	KCTD15	potassium channel tetramerization domain containing 15	-0.287	1.338
9710	GARRE1	granule associated Rac and RHOG effector 1	-0.449	2.49
2821	GPI	glucose-6-phosphate isomerase	0.357	1.902
10054	UBA2	ubiquitin like modifier activating enzyme 2	-0.429	4.275
126374	WTIP	WT1 interacting protein	-0.431	1.326
100129800	ZNF807P	zinc finger protein 807, pseudogene	0.325	1.449
339318	ZNF181	zinc finger protein 181	0.283	1.839
126375	ZNF792	zinc finger protein 792	-0.41	3.271
57655	GRAMD1A	GRAM domain containing 1A	-0.64	5.077
6324	SCN1B	sodium voltage-gated channel beta subunit 1	-0.698	2.847
5349	FXYD3	FXYD domain containing ion transport regulator 3	2.179	6.455
102466205	MIR6887	microRNA 6887	1.727	3.979
53827	FXYD5	FXYD domain containing ion transport regulator 5	-0.793	2.989
51599	LSR	lipolysis stimulated lipoprotein receptor	1.033	4.745
105372380	LOC105372380	uncharacterized LOC105372380	0.657	2.726
7392	USF2	upstream transcription factor 2, c-fos interacting	0.332	1.919
933	CD22	CD22 molecule	0.894	1.35
100128682	LINC01531	long intergenic non-protein coding RNA 1531	1.312	5.224
101927522	LOC101927522	uncharacterized LOC101927522	1.297	5.966
2867	FFAR2	free fatty acid receptor 2	-0.949	1.751
79171	RBM42	RNA binding motif protein 42	0.469	2.046
2116	ETV2	ETS variant transcription factor 2	0.64	2.161
1340	COX6B1	cytochrome c oxidase subunit 6B1	1.018	4.803
27033	ZBTB32	zinc finger and BTB domain containing 32	-1.322	6.065
148137	PROSER3	proline and serine rich 3	0.424	3.684
115703	ARHGAP33	Rho GTPase activating protein 33	0.273	1.504
7305	TYROBP	transmembrane immune signaling adaptor TYROBP	-0.67	1.622
644096	SDHAF1	succinate dehydrogenase complex assembly factor 1	0.524	2.33
163183	SYNE4	spectrin repeat containing nuclear envelope family member 4	0.759	2.251
84964	ALKBH6	alkB homolog 6	0.44	2.285
5438	POLR2I	RNA polymerase II subunit I	0.54	1.878
826	CAPNS1	calpain small subunit 1	0.469	2.299
100506930	LINC00665	long intergenic non-protein coding RNA 665	-0.465	1.631
284406	ZFP82	ZFP82 zinc finger protein	-0.353	1.548
342892	ZNF850	zinc finger protein 850	0.27	1.817
199704	ZNF585A	zinc finger protein 585A	0.15	1.401
163087	ZNF383	zinc finger protein 383	0.237	2.184
284459	ZNF875	zinc finger protein 875	0.24	2.734
148266	ZNF569	zinc finger protein 569	-0.338	1.411
148268	ZNF570	zinc finger protein 570	-0.27	1.33
101927720	ZNF793-AS1	ZNF793 antisense RNA 1 (head to head)	0.811	6.87
390927	ZNF793	zinc finger protein 793	0.853	7.21
84775	ZNF607	zinc finger protein 607	0.506	5.102
23094	SIPA1L3	signal induced proliferation associated 1 like 3	0.577	3.16
8193	DPF1	double PHD fingers 1	-0.656	1.956
10653	SPINT2	serine peptidase inhibitor, Kunitz type 2	1.091	4.022
90522	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	0.831	3.317
64073	C19orf33	chromosome 19 open reading frame 33	1.809	5.721
57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma	0.887	7.38
199720	GGN	gametogenetin	-0.743	3.762
399473	SPRED3	sprouty related EVH1 domain containing 3	-1.585	9.693
147965	FAM98C	family with sequence similarity 98 member C	0.794	6.352
115727	RASGRP4	RAS guanyl releasing protein 4	-0.983	3.643
6261	RYR1	ryanodine receptor 1	0.66	2.082
27335	EIF3K	eukaryotic translation initiation factor 3 subunit K	0.796	4.702
81	ACTN4	actinin alpha 4	0.288	1.712
147968	CAPN12	calpain 12	0.692	3.214
3960	LGALS4	galectin 4	1.624	4.777
1891	ECH1	enoyl-CoA hydratase 1	1.001	7.086
643669	CCER2	coiled-coil glutamate rich protein 2	0.522	1.982
54938	SARS2	seryl-tRNA synthetase 2, mitochondrial	0.393	1.81
6183	MRPS12	mitochondrial ribosomal protein S12	0.701	2.699
10298	PAK4	p21 (RAC1) activated kinase 4	0.761	3.985
342897	NCCRP1	NCCRP1, F-box associated domain containing	0.977	1.995
9535	GMFG	glia maturation factor gamma	-0.608	1.668
55095	SAMD4B	sterile alpha motif domain containing 4B	-0.222	1.707
109623469	SNORD175	small nucleolar RNA, C/D box 175	-0.73	2.579
92609	TIMM50	translocase of inner mitochondrial membrane 50	0.415	2.472
126272	EID2B	EP300 interacting inhibitor of differentiation 2B	-0.441	1.617
163126	EID2	EP300 interacting inhibitor of differentiation 2	-0.24	2.008
1178	CLC	Charcot-Leyden crystal galectin	2.377	5.629
2091	FBL	fibrillarin	0.67	3.603
8857	FCGBP	Fc gamma binding protein	1.163	2.449
339327	ZNF546	zinc finger protein 546	-0.435	1.863
4294	MAP3K10	mitogen-activated protein kinase kinase kinase 10	-0.275	1.645
107985289	LOC107985289	uncharacterized LOC107985289	-0.518	1.372
29946	SERTAD3	SERTA domain containing 3	0.608	4.111
105372489	SERTAD3-AS1	SERTAD3 antisense RNA 1	0.374	1.692
645	BLVRB	biliverdin reductase B	0.613	2.843
8425	LTBP4	latent transforming growth factor beta binding protein 4	0.509	1.87
9253	NUMBL	NUMB like endocytic adaptor protein	-0.441	2.134
6626	SNRPA	small nuclear ribonucleoprotein polypeptide A	0.451	2.273
8190	MIA	MIA SH3 domain containing	-0.746	2.64
100529262	MIA-RAB4B	MIA-RAB4B readthrough (NMD candidate)	0.354	1.544
100529264	RAB4B-EGLN2	RAB4B-EGLN2 readthrough (NMD candidate)	0.313	1.687
53916	RAB4B	RAB4B, member RAS oncogene family	0.465	2.492
112398	EGLN2	egl-9 family hypoxia inducible factor 2	0.295	1.497
1556	CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene	1.436	7.704
1555	CYP2B6	cytochrome P450 family 2 subfamily B member 6	1.85	5.81
1572	CYP2F1	cytochrome P450 family 2 subfamily F member 1	1.077	4.677
29785	CYP2S1	cytochrome P450 family 2 subfamily S member 1	1.029	5.535
105372401	LOC105372401	uncharacterized LOC105372401	0.346	2.298
90324	CCDC97	coiled-coil domain containing 97	0.145	1.319
7040	TGFB1	transforming growth factor beta 1	-0.741	3.303
56915	EXOSC5	exosome component 5	0.537	2.7
593	BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha	0.382	2.506
374907	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	1.596	8.638
55101	DMAC2	distal membrane arm assembly component 2	0.224	1.639
100505495	PCAT19	prostate cancer associated transcript 19	-1.564	8.738
90273	CEACAM21	CEA cell adhesion molecule 21	-0.803	2.715
1089	CEACAM4	CEA cell adhesion molecule 4	-1.886	7.051
1087	CEACAM7	CEA cell adhesion molecule 7	1.729	2.818
112268252	LOC112268252	uncharacterized LOC112268252	-1.16	1.856
6223	RPS19	ribosomal protein S19	0.574	2.146
102465478	MIR6797	microRNA 6797	0.494	1.392
390937	ERFL	ETS repressor factor like	0.462	1.776
100505585	LOC100505585	replaced by ID 9138	0.575	1.824
2931	GSK3A	glycogen synthase kinase 3 alpha	0.203	1.444
23152	CIC	capicua transcriptional repressor	-0.273	1.622
5050	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	0.592	2.241
1954	MEGF8	multiple EGF like domains 8	0.299	2.377
84518	CNFN	cornifelin	1.552	5.987
101930071	LOC101930071	uncharacterized LOC101930071	0.554	2.092
634	CEACAM1	CEA cell adhesion molecule 1	1.044	2.065
105372407	LOC105372407	uncharacterized LOC105372407	0.949	1.879
57126	CD177	CD177 molecule	1.043	1.311
83639	TEX101	testis expressed 101	1.831	4.641
653583	PHLDB3	pleckstrin homology like domain family B member 3	0.629	4.111
23474	ETHE1	ETHE1 persulfide dioxygenase	1.509	5.98
284346	ZNF575	zinc finger protein 575	1.247	7.284
390940	PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing	-0.614	2.716
126298	IRGQ	immunity related GTPase Q	0.237	1.799
79177	ZNF576	zinc finger protein 576	0.374	2.789
199731	CADM4	cell adhesion molecule 4	-0.843	4.03
5329	PLAUR	plasminogen activator, urokinase receptor	-0.767	1.723
3783	KCNN4	potassium calcium-activated channel subfamily N member 4	0.707	3.389
284348	LYPD5	LY6/PLAUR domain containing 5	-1.763	24.399
284349	ZNF283	zinc finger protein 283	0.358	2.25
342908	ZNF404	zinc finger protein 404	0.58	4.782
7711	ZNF155	zinc finger protein 155	0.257	2.31
101928063	ZNF230-DT	ZNF230 divergent transcript	0.243	1.944
7673	ZNF222	zinc finger protein 222	-0.253	1.413
7766	ZNF223	zinc finger protein 223	0.36	2.327
7769	ZNF226	zinc finger protein 226	0.237	1.693
353355	ZNF233	zinc finger protein 233	0.698	6.798
7771	ZNF112	zinc finger protein 112	0.496	2.98
26974	ZNF285	zinc finger protein 285	0.765	6.182
147710	IGSF23	immunoglobulin superfamily member 23	0.998	3.96
107985305	CEACAM16-AS1	CEACAM16, CEACAM19 and PVR antisense RNA 1	0.785	2.944
56971	CEACAM19	CEA cell adhesion molecule 19	0.552	3.006
107985306	LOC107985306	uncharacterized LOC107985306	-0.442	1.41
388551	CEACAM16	CEA cell adhesion molecule 16, tectorial membrane component	0.973	5.254
102465879	MIR8085	microRNA 8085	0.433	1.592
23624	CBLC	Cbl proto-oncogene C	1.546	5.197
10452	TOMM40	translocase of outer mitochondrial membrane 40	0.464	1.579
348	APOE	apolipoprotein E	-0.753	2.082
